Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AI_diff,AI_pc,AR_diff,AR_pc,BE_diff,BE_pc,BL_diff,BL_pc,BS_diff,BS_pc,FR_diff,FR_pc,GE_diff,GE_pc,GL_diff,GL_pc,GR_diff,GR_pc,JU_diff,JU_pc,LU_diff,LU_pc,NE_diff,NE_pc,NW_diff,NW_pc,OW_diff,OW_pc,SG_diff,SG_pc,SH_diff,SH_pc,SO_diff,SO_pc,SZ_diff,SZ_pc,TG_diff,TG_pc,TI_diff,TI_pc,UR_diff,UR_pc,VD_diff,VD_pc,VS_diff,VS_pc,ZG_diff,ZG_pc,ZH_diff,ZH_pc,CH_diff,CH_pc
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0
2020-02-26,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,1.0,,,,,,5.0,,6.574760284240036e-07,,,,,,,,,,,,,1.0,6.574760284240036e-07,,,,1.3149520568480073e-06,,,,,,,,,,,,,,,,,,,,,1.0,6.574760284240036e-07,,,,,,,,,,,5.0,3.2873801421200185e-06
2020-02-27,1.0,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,1.0,,,,,2.0,9.0,0.0,6.574760284240036e-07,,,,,,,,,,6.574760284240036e-07,,,0.0,6.574760284240036e-07,,,0.0,1.3149520568480073e-06,,6.574760284240036e-07,,,,,,,,,,,,,,,,,,,0.0,6.574760284240036e-07,,,,,,,,,,1.3149520568480073e-06,4.0,5.917284255816033e-06
2020-02-28,1.0,,,1.0,1.0,1.0,,4.0,,6.0,1.0,,,,,,,,,,1.0,,,1.0,,2.0,19.0,0.0,6.574760284240036e-07,,,,,,6.574760284240036e-07,,6.574760284240036e-07,0.0,6.574760284240036e-07,,,3.0,2.6299041136960146e-06,,,4.0,3.944856170544022e-06,0.0,6.574760284240036e-07,,,,,,,,,,,,,,,,,,,0.0,6.574760284240036e-07,,,,,,6.574760284240036e-07,,,0.0,1.3149520568480073e-06,10.0,1.249204454005607e-05
2020-02-29,3.0,,,,2.0,1.0,0.0,8.0,,6.0,1.0,,,,,,,,,,2.0,,,1.0,0.0,6.0,31.0,2.0,1.972428085272011e-06,,,,,0.0,,1.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,,0.0,4.0,5.259808227392029e-06,,,0.0,3.944856170544022e-06,0.0,6.574760284240036e-07,,,,,,,,,,,,,,,,,,,1.0,1.3149520568480073e-06,,,,,0.0,6.574760284240036e-07,,0.0,4.0,3.944856170544022e-06,12.0,2.0381756881144114e-05
2020-03-01,4.0,,,2.0,2.0,1.0,1.0,9.0,,6.0,1.0,,1.0,,,,,,,,2.0,,,2.0,0.0,7.0,38.0,1.0,2.6299041136960146e-06,,,,,1.0,1.3149520568480073e-06,0.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,1.0,6.574760284240036e-07,1.0,5.917284255816033e-06,,,0.0,3.944856170544022e-06,0.0,6.574760284240036e-07,,,,6.574760284240036e-07,,,,,,,,,,,,,,,0.0,1.3149520568480073e-06,,,,,1.0,1.3149520568480073e-06,0.0,0.0,1.0,4.602332198968026e-06,7.0,2.498408908011214e-05
2020-03-02,7.0,,,4.0,2.0,1.0,2.0,10.0,,9.0,1.0,,1.0,,,1.0,,,,,4.0,,,4.0,0.0,10.0,56.0,3.0,4.602332198968026e-06,,,,,2.0,2.6299041136960146e-06,0.0,1.3149520568480073e-06,0.0,6.574760284240036e-07,1.0,1.3149520568480073e-06,1.0,6.574760284240037e-06,,,3.0,5.917284255816033e-06,0.0,6.574760284240036e-07,,,0.0,6.574760284240036e-07,,,,,,6.574760284240036e-07,,,,,,,,,2.0,2.6299041136960146e-06,,,,,2.0,2.6299041136960146e-06,0.0,0.0,3.0,6.574760284240037e-06,18.0,3.6818657591744206e-05
2020-03-03,7.0,,,,2.0,3.0,2.0,13.0,,9.0,2.0,,1.0,,,1.0,,,1.0,,8.0,,,4.0,1.0,13.0,71.0,0.0,4.602332198968026e-06,,,,,0.0,,0.0,1.3149520568480073e-06,2.0,1.972428085272011e-06,0.0,1.3149520568480073e-06,3.0,8.547188369512047e-06,,,0.0,5.917284255816033e-06,1.0,1.3149520568480073e-06,,,0.0,6.574760284240036e-07,,,,,0.0,6.574760284240036e-07,,,,,,6.574760284240036e-07,,,4.0,5.259808227392029e-06,,,,,0.0,2.6299041136960146e-06,1.0,6.574760284240036e-07,3.0,8.547188369512047e-06,15.0,4.668079801810426e-05
2020-03-04,10.0,,,6.0,2.0,3.0,4.0,15.0,,12.0,2.0,0.0,8.0,,,1.0,,,3.0,,13.0,,,6.0,1.0,15.0,101.0,3.0,6.574760284240037e-06,,,,,2.0,3.944856170544022e-06,0.0,1.3149520568480073e-06,0.0,1.972428085272011e-06,2.0,2.6299041136960146e-06,2.0,9.862140426360054e-06,,,3.0,7.889712341088045e-06,0.0,1.3149520568480073e-06,,0.0,7.0,5.259808227392029e-06,,,,,0.0,6.574760284240036e-07,,,,,2.0,1.972428085272011e-06,,,5.0,8.547188369512047e-06,,,,,2.0,3.944856170544022e-06,0.0,6.574760284240036e-07,2.0,9.862140426360054e-06,30.0,6.640507887082437e-05
2020-03-05,11.0,,1.0,,6.0,8.0,6.0,20.0,,14.0,4.0,,9.0,,,1.0,,,,1.0,25.0,,,7.0,2.0,23.0,147.0,1.0,7.23223631266404e-06,,,,6.574760284240036e-07,0.0,,4.0,3.944856170544022e-06,5.0,5.259808227392029e-06,2.0,3.944856170544022e-06,5.0,1.3149520568480074e-05,,,2.0,9.204664397936052e-06,2.0,2.6299041136960146e-06,0.0,,1.0,5.917284255816033e-06,,,,,0.0,6.574760284240036e-07,,,,,0.0,,,6.574760284240036e-07,12.0,1.6436900710600092e-05,,,,,1.0,4.602332198968026e-06,1.0,1.3149520568480073e-06,8.0,1.5121948653752085e-05,46.0,9.664897617832853e-05
